Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
131,Javin DeLaurier\delauja01,C,23,MIL,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,1,0
132,DeMar DeRozan\derozde01,PF,32,CHI,51,51,35.4,10,19.5,0.51,0.6,1.9,0.344,9.3,17.7,0.527,0.526,6.8,7.9,0.859,0.9,4.4,5.2,5.1,0.9,0.3,2.4,2.2,27.4
133,Mamadi Diakite\diakima01,PF,25,OKC,13,3,14.5,1.9,3.6,0.532,0,0.4,0,1.9,3.2,0.595,0.532,0.5,0.8,0.545,1.3,3.2,4.5,0.2,0.4,0.7,0.5,2.5,4.3
134,Cheick Diallo\diallch01,C,25,DET,3,0,10.3,1,2.7,0.375,0,0,,1,2.7,0.375,0.375,1.7,2,0.833,1.3,2.7,4,0,0.3,0,0.3,2,3.7
135,Hamidou Diallo\diallha01,SG,23,DET,47,28,22.4,4.5,9.1,0.496,0.4,1.6,0.25,4.1,7.5,0.55,0.519,1.5,2.3,0.667,1.3,3.5,4.8,1.2,1.2,0.3,1,2.6,11
136,Gorgui Dieng\dienggo01,C,32,ATL,35,3,9.2,1.2,2.6,0.473,0.6,1.4,0.42,0.6,1.2,0.537,0.588,0.5,0.7,0.739,0.9,2.2,3.1,0.8,0.3,0.3,0.5,1.3,3.5
137,Spencer Dinwiddie\dinwisp01,PG,28,WAS,44,44,30.2,4.2,11.2,0.376,1.6,5.1,0.31,2.6,6,0.432,0.447,2.6,3.3,0.811,0.8,3.9,4.7,5.8,0.6,0.2,1.7,2.4,12.6
138,Donte DiVincenzo\divindo01,SG,25,MIL,17,0,20.1,2.3,6.9,0.331,1.2,4.4,0.284,1.1,2.6,0.409,0.419,1.4,1.6,0.852,1.1,2.5,3.5,1.7,0.6,0.2,1.6,1.5,7.2
139,Luka Dončić\doncilu01,PG,22,DAL,40,40,35.1,9.4,21,0.445,2.5,7.9,0.316,6.9,13.1,0.523,0.505,5,6.7,0.736,0.9,8,8.9,9.2,1.2,0.5,4.3,2.4,26.2
140,Luguentz Dort\dortlu01,SF,22,OKC,49,49,32.7,5.7,14.1,0.404,2.5,7.6,0.332,3.2,6.4,0.491,0.494,3,3.6,0.851,0.8,3.4,4.2,1.8,0.9,0.4,1.8,2.9,17
141,Ayo Dosunmu\dosunay01,SG,22,CHI,50,16,24.7,3.1,6,0.517,0.9,2.2,0.409,2.2,3.8,0.58,0.592,0.7,1.1,0.661,0.3,2.3,2.6,2.7,0.6,0.4,1.2,2.1,7.8
142,Damyean Dotson\dotsoda01,SG,27,NYK,2,0,10.5,1,2,0.5,0,0.5,0,1,1.5,0.667,0.5,0,0,,0,1,1,0.5,0,0,0,0,2
143,Devon Dotson\dotsode01,PG,22,CHI,11,0,7.7,1,2.1,0.478,0.2,0.8,0.222,0.8,1.3,0.643,0.522,0.5,0.8,0.556,0.1,0.7,0.8,1.4,0.1,0,0.5,1,2.6
144,Sekou Doumbouya\doumbse01,PF,21,LAL,2,0,8,2.5,4,0.625,0.5,1,0.5,2,3,0.667,0.688,1.5,2,0.75,1,2,3,0,1.5,1,1,0.5,7
145,Jeff Dowtin\dowtije01,PG,24,TOT,5,0,6.2,0.6,1.4,0.429,0,0.4,0,0.6,1,0.6,0.429,0,0,,0.2,1.2,1.4,0.6,0,0.2,0.2,0.4,1.2
145,Jeff Dowtin\dowtije01,PG,24,GSW,4,0,7,0.8,1.5,0.5,0,0.3,0,0.8,1.3,0.6,0.5,0,0,,0.3,1.5,1.8,0.8,0,0.3,0.3,0.5,1.5
145,Jeff Dowtin\dowtije01,PG,24,MIL,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
146,PJ Dozier\doziepj01,SG,25,DEN,18,0,18.9,2,5.5,0.364,0.8,2.7,0.313,1.2,2.8,0.412,0.439,0.6,0.7,0.769,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4
147,Goran Dragić\dragigo01,PG,35,TOR,5,2,18,2.6,6.8,0.382,0.8,2.8,0.286,1.8,4,0.45,0.441,2,2,1,0.4,2.4,2.8,1.8,1,0.2,0.2,1.6,8
148,Andre Drummond\drumman01,C,28,PHI,49,12,18.4,2.6,4.9,0.538,0,0,0,2.6,4.8,0.542,0.538,0.9,1.7,0.512,2.8,6.1,8.8,2,1.1,0.9,1.6,2.5,6.1
