Player,Salary
Gary Harris\harriga01DEN,20482143
Patrick Williams\willipa01CHI,7422000
DeMarcus Cousins\couside01LAC,607285
Isaiah Joe\joeis01PHI,1517981
Saddiq Bey\beysa01DET,2824320
Cedi Osman\osmande01CLE,8050000
Terance Mann\mannte01LAC,1782621
Dāvis Bertāns\bertada01WAS,16000000
Svi Mykhailiuk\mykhasv01DET,1729217
Gordon Hayward\haywago01CHO,29900000
Isaiah Hartenstein\harteis01CLE,3430810
Austin Rivers\riverau01NYK,2401537
Terry Rozier\roziete01CHO,17905263
Alize Johnson\johnsal02BRK,705598
Jaren Jackson Jr.\jacksja02MEM,9180560
LeBron James\jamesle01LAL,41180544
D'Angelo Russell\russeda01MIN,30013500
Reggie Bullock\bullore01NYK,9536000
Evan Fournier\fournev01ORL,18139535
Austin Rivers\riverau01DEN,2401537
George Hill\hillge01OKC,4000000
Brad Wanamaker\wanambr01GSW,705598
Precious Achiuwa\achiupr01MIA,2711280
Elfrid Payton\paytoel01NYK,2239544
Matisse Thybulle\thybuma01PHI,2840160
Dwight Powell\poweldw01DAL,11000000
Jalen Brunson\brunsja01DAL,1802057
Zion Williamson\willizi01NOP,10733400
D.J. Augustin\augusdj01HOU,7000000
Nicolas Batum\batumni01LAC,12213507
Gabriel Deck\deckga01OKC,1690507
Cole Anthony\anthoco01ORL,3449400
Alec Burks\burksal01NYK,9536000
Jalen McDaniels\mcdanja01CHO,1782621
Andre Iguodala\iguodan01MIA,2641691
Rodney Hood\hoodro01POR,2239544
Doug McDermott\mcderdo01IND,13750000
Joe Harris\harrijo01BRK,17357143
Markieff Morris\morrima02LAL,2641691
Isaiah Roby\robyis01OKC,1782621
Maurice Harkless\harklma01MIA,4347600
Aaron Nesmith\nesmiaa01BOS,3631200
Derrick Rose\rosede01NYK,13445120
Jeremy Lamb\lambje01IND,10500000
David Nwaba\nwabada01HOU,4650000
Sam Merrill\merrisa01MIL,663024
Juancho Hernangómez\hernaju01MIN,6175440
Jaylen Brown\brownja02BOS,24830357
Terence Davis\daviste02SAC,4000000
Dennis Schröder\schrode01LAL,5890000
Bam Adebayo\adebaba01MIA,28103550
Reggie Perry\perryre01BRK,85578
Nassir Little\littlna01POR,2316240
Tyler Herro\herroty01MIA,4004280
CJ McCollum\mccolcj01POR,30864198
Josh Okogie\okogijo01MIN,4087904
Rodney Hood\hoodro01TOR,2239544
Isaac Bonga\bongais01WAS,1729217
Markelle Fultz\fultzma01ORL,16500000
Trae Young\youngtr01ATL,8326471
Mike Conley\conlemi01UTA,21000000
LaMarcus Aldridge\aldrila01BRK,2641691
Seth Curry\curryse01PHI,8186047
Reggie Jackson\jacksre01LAC,10384500
Alex Len\lenal01WAS,3731707
Paul George\georgpa01LAC,39344970
Dennis Smith Jr.\smithde03DET,1789256
Devin Vassell\vassede01SAS,4235160
Tony Snell\snellto01ATL,2389641
Mitchell Robinson\robinmi01NYK,1802057
Javonte Green\greenja02CHI,1669178
Ish Smith\smithis01WAS,4500000
Gary Clark\clarkga01PHI,377645
DeMarcus Cousins\couside01HOU,607285
Daniel Gafford\gaffoda01WAS,1782621
Tristan Thompson\thomptr01BOS,9720900
Oshae Brissett\brissos01IND,1701593
Chuma Okeke\okekech01ORL,3277080
Duncan Robinson\robindu01MIA,15560000
DeAndre Jordan\jordade01BRK,10517224
Shai Gilgeous-Alexander\gilgesh01OKC,5495532
Cody Zeller\zelleco01CHO,2389641
Zach LaVine\lavinza01CHI,19500000
Malik Monk\monkma01CHO,1789256
OG Anunoby\anunoog01TOR,16071429
Tre Jones\jonestr01SAS,1517981
Troy Brown Jr.\browntr01WAS,5170564
Avery Bradley\bradlav01HOU,2641691
Jahmi'us Ramsey\ramseja01SAC,1517981
Grant Williams\willigr01BOS,2617800
Taurean Prince\princta02BRK,15057692
Garrett Temple\templga01CHI,4910000
Coby White\whiteco01CHI,5837760
Jevon Carter\carteje01PHO,3833333
Otto Porter Jr.\porteot01CHI,2389641
Nick Richards\richani01CHO,1517981
Victor Oladipo\oladivi01MIA,2389641
Ben McLemore\mclembe01HOU,2389641
Jarrett Allen\allenja01CLE,20000000
